:START_ID(Maltster),:END_ID(MaltSpecification)
Voyager,1AmberMalt
Voyager,2AtlasMalt
Voyager,3BiscuitMalt
Voyager,4BlackMalt
Voyager,5ChitMalt
Voyager,6ChocRyeMalt
Voyager,7ChocWheatmalt
Voyager,8Chocolate
Voyager,9CompassPale
Voyager,10DexterMalt
Voyager,11HeritageRye
Voyager,12MaltedCorn
Voyager,13OatsMitika
Voyager,14MountainAshMalt
Voyager,15MunichMalt
Voyager,16OrganicChit
Voyager,17OrganicMunich
Voyager,18Pils
Voyager,19RedWheat
Voyager,20SchoonerPale
Voyager,21Veloria
Voyager,22OrganicVienna
Voyager,23PurpleBarley
Voyager,24RedGum
Voyager,25RegenPale
Voyager,26RoastBarley
Voyager,27TibetanPurple
Voyager,28SchoonerPale
Voyager,29SM40
Voyager,30Triticale
Voyager,31UnderPils
Voyager,32VampireRye
Voyager,33Veloria
Voyager,34Vienna
Voyager,35Voodoo
Voyager,36WinderWheat
Gladfield,37Ale